# parts.csv — weapon part (부품) catalogue. Loaded by WeaponCombiner on
# scene init. One row = one part card (부품 카드). If this file is missing
# or empty, WeaponCombiner falls back to a built-in default set.
# Columns:
#   category — origin | movement | firemode | onhit | shape | levelup
#   variant  — integer enum value within that category:
#                origin:   Front=0 Around=1 Mouse=2 Random=3
#                movement: Straight=0 Spiral=1 Fixed=2 Orbital=3
#                firemode: Cooldown=0 Sustained=1
#                onhit:    Vanish=0 NoChange=1 Reflect=2 Multiply=3
#                shape:    Sphere=0 Box=1 Triangle=2
#                levelup:  Damage=0 Cooldown=1 Count=2 Speed=3 Size=4
#   label    — name shown on the card (ASCII)
#   color    — 0xRRGGBB icon / slot colour (levelup also tints the weapon)
#   amount   — levelup only: per-level bump (Damage/Count add, Cooldown
#              multiplies, Speed/Size add). Ignored (0) for other categories.
#   duration — firemode only: weapon lifetime in seconds. Cooldown bullets
#              despawn after this; Sustained orbs live this long (use a big
#              value like 9999 for effectively-permanent). Two parts of the
#              same fire mode may set different durations. Ignored (0)
#              elsewhere; if left 0 a fire-mode default is used.
category,variant,label,color,amount,duration
origin,0,Front,0x4FC3F7,0,0
origin,1,Around,0x4FC3F7,0,0
origin,2,Mouse,0x4FC3F7,0,0
origin,3,Random,0x4FC3F7,0,0
movement,0,Straight,0x81C784,0,0
movement,1,Spiral,0x81C784,0,0
movement,2,Fixed,0x81C784,0,0
movement,3,Orbital,0x81C784,0,0
firemode,0,Cooldown,0xFFB74D,0,2.0
firemode,1,Sustained,0xFFB74D,0,9999.0
onhit,0,Vanish,0xE57373,0,0
onhit,1,NoChange,0xE57373,0,0
onhit,2,Reflect,0xE57373,0,0
onhit,3,Multiply,0xE57373,0,0
shape,0,Sphere,0xBA68C8,0,0
shape,1,Box,0xBA68C8,0,0
shape,2,Triangle,0xBA68C8,0,0
levelup,0,Damage,0xE53935,2.0,0
levelup,1,Cooldown,0x26C6DA,0.9,0
levelup,2,Count,0x9CCC65,1.0,0
levelup,3,Speed,0xFFEE58,3.0,0
levelup,4,Size,0xAB47BC,0.1,0
