# Weapon data table v2 for the survivor-like shop.
# Stat values are gameplay-tuning placeholders calibrated against enemies.json
# (round-1 base HP: crawler 10 / swarmling 4 / brute 60 / boss 1800+).
# Lines beginning with '#' are comments.
#
# Columns:
#   id             — unique integer key. 1-99 = shop weapons, 100+ = evolution-only.
#   name           — display name (currently unused by UI; text rendering not wired)
#   spawn_origin   — Front | Around | Mouse           (where the projectile is born)
#   movement       — Straight | Spiral | Fixed | Orbital | Follow
#                    Follow = independent entity that trails the player and acts on
#                    its own cooldown (turret/pet). Reuses summoner-style AI.
#   fire_mode      — Cooldown | Sustained
#   on_hit         — Vanish | NoChange | Reflect | Multiply | Chain
#                    Chain = jump to nearest un-hit enemy within range; max_hits caps jumps.
#   shape          — Sphere | Box | Triangle
#   damage         — int hp removed per hit. For Sustained / Fixed-field weapons this is
#                    damage PER TICK (see damage_interval), not per shot.
#   cooldown       — seconds between fires (ignored for Sustained, kept as 0)
#   projectile_speed — px / sec (loader divides by kPxPerCell=50 -> world units/sec).
#                    0 for Fixed; tangential/angular speed for Orbital.
#   lifetime       — seconds before despawn. 0 = persists while Sustained / until replaced.
#   count          — projectiles per fire
#   color_rgb      — 0xRRGGBB packed colour (card + projectile tint)
#   level_up_field — Damage | Cooldown | Count | Speed | Size
#   level_up_amount— Damage/Count add (int); Cooldown multiplies (0.9 = -10%/lvl);
#                    Speed adds (units/sec); Size adds (uniform scale, collider follows).
#   size           — visual scale (uniform). 0.25 = legacy hard-coded value.
#   acceleration   — speed delta / sec, px/sec (loader divides by kPxPerCell).
#                    + accel / - decel / 0 = constant. Orbital = angular.
#   aim_mode       — Nearest | LowestHP | Forward | Cursor | Radial | Random
#                    Initial heading / target. Forward = player facing/move dir.
#                    Radial = evenly split around player. Cursor = toward mouse.
#                    LowestHP = current weakest enemy (finisher targeting).
#   spread_deg     — fan angle (degrees) over which `count` projectiles are distributed.
#                    0 = single line / stacked. Used by count>1 weapons.
#   max_hits       — enemies a projectile may damage before despawning.
#                    1 = Vanish-on-first-hit; 0 = unlimited (pierce/field/orbit);
#                    Reflect = bounces; Chain = jumps.
#   damage_interval— seconds between damage ticks for Sustained or persistent Fixed
#                    fields. 0 = single instantaneous hit (normal projectiles).
#   knockback      — impulse applied to enemy on hit (world units). + pushes away,
#                    - pulls toward the impact point (gravity/vacuum), 0 = none.
#   evolves_into   — id this weapon becomes when evolved. 0 = no evolution.
#   evolve_min_level — weapon level required before evolution is offered. 0 = none.
#   shop_available — 1 = appears in shop pool, 0 = obtainable only via evolution.
#   trail_style    — none | tracer | plasma | spark | comet
#                    Bullet tracer-ribbon look (TrailRenderManager preset). none =
#                    no trail (beams / orbitals / fixed fields); tracer = default
#                    thin bright streak; plasma = thick/bright/long; spark =
#                    short/snappy; comet = long fading tail. Blank => tracer.
#
id,name,spawn_origin,movement,fire_mode,on_hit,shape,damage,cooldown,projectile_speed,lifetime,count,color_rgb,level_up_field,level_up_amount,size,acceleration,aim_mode,spread_deg,max_hits,damage_interval,knockback,evolves_into,evolve_min_level,shop_available,trail_style
1,Pellet,Front,Straight,Cooldown,Vanish,Sphere,6,0.80,380,1.2,1,0xFFE066,Count,1,0.25,0,Nearest,0,1,0,4,101,8,1,tracer
2,Piercing Bolt,Front,Straight,Cooldown,NoChange,Triangle,9,1.10,460,1.6,1,0x66D9FF,Damage,5,0.30,0,Nearest,0,3,0,6,0,0,1,tracer
3,Orbit Blade,Around,Orbital,Sustained,NoChange,Box,8,0,200,0,2,0xB0B0C0,Count,1,0.40,0,Radial,0,0,0.30,8,0,0,1,none
4,Scatter,Front,Straight,Cooldown,Vanish,Sphere,4,1.00,340,0.7,5,0xFF9966,Count,2,0.22,0,Forward,45,1,0,3,0,0,1,spark
5,Spiral Orb,Around,Spiral,Cooldown,NoChange,Sphere,5,1.40,260,2.0,3,0xCC66FF,Count,1,0.28,0,Radial,120,0,0,4,0,0,1,comet
6,Land Mine,Mouse,Fixed,Cooldown,NoChange,Box,18,1.60,0,4.0,1,0xFF5555,Size,0.15,0.50,0,Cursor,0,0,0.50,10,0,0,1,none
7,Ricochet,Front,Straight,Cooldown,Reflect,Sphere,7,1.20,420,2.5,1,0x66FF99,Count,1,0.25,0,Random,0,4,0,5,0,0,1,tracer
8,Split Shot,Front,Straight,Cooldown,Multiply,Triangle,8,1.50,360,1.4,1,0xFFCC33,Damage,6,0.30,0,Nearest,0,1,0,4,0,0,1,tracer
9,Laser Beam,Mouse,Straight,Sustained,NoChange,Box,3,1.5,900,1.5,1,0xFF3366,Damage,2,0.35,0,Cursor,0,0,0.10,0,102,8,1,none
10,Pulse Aura,Around,Fixed,Sustained,NoChange,Sphere,2,0,0,0,1,0x99CCFF,Size,0.20,0.60,0,Radial,0,0,0.40,6,0,0,1,none
11,Seeker Dart,Front,Straight,Cooldown,Vanish,Triangle,6,0.90,200,2.0,1,0x00FFCC,Speed,50,0.25,180,LowestHP,0,1,0,4,0,0,1,comet
12,Heavy Cannon,Front,Straight,Cooldown,Vanish,Sphere,40,2.40,300,1.6,1,0xFF8800,Cooldown,0.90,0.70,0,Nearest,0,1,0,25,0,0,1,plasma
13,Orbital Saw,Around,Orbital,Sustained,NoChange,Triangle,6,0,150,0,3,0xFFEE00,Size,0.12,0.45,1.5,Radial,0,0,0.25,6,0,0,1,none
14,Boomerang,Front,Straight,Cooldown,NoChange,Box,9,1.30,420,2.4,1,0x88FF00,Count,1,0.35,-160,Forward,0,0,0,5,0,0,1,comet
15,Chain Lightning,Front,Straight,Cooldown,Chain,Sphere,7,1.30,600,1.5,1,0x33CCFF,Damage,4,0.20,0,Nearest,0,5,0,2,103,8,1,spark
16,Spirit Wolf,Around,Follow,Cooldown,NoChange,Box,10,1.00,180,0,1,0xC0A0FF,Count,1,0.50,0,Nearest,0,1,0,6,0,0,1,none
17,Gravity Well,Mouse,Fixed,Cooldown,NoChange,Sphere,2,3.00,0,3.0,1,0x9933CC,Size,0.20,0.70,0,Cursor,0,0,0.50,-30,0,0,1,none
