# Weapon data table v2 ??saved by the in-game weapon editor.
id,name,spawn_origin,movement,fire_mode,on_hit,shape,damage,cooldown,projectile_speed,lifetime,count,color,level_up_field,level_up_amount,size,acceleration,aim_mode,spread_deg,max_hits,damage_interval,knockback,evolves_into,evolve_min_level,shop_available,trail_style,price,min_round,max_round,orbit_radius,radial_speed,impact_mask,gather_pull,gather_radius,burn_damage,burn_duration,slow_factor,slow_duration,spawn_radius
1,Pellet,front,straight,cooldown,vanish,sphere,6,0.8,380,1.2,1,0xFFE066,count,1,0.25,0,forward,0,0,0,6,101,8,1,tracer,12,1,5,0.9,0,3,1,4,3,3,0.5,2.5,6
2,Piercing Bolt,front,aimed,cooldown,nochange,triangle,9,1.1,460,1.6,1,0x66D9FF,damage,5,0.3,0,nearest,0,3,0,6,0,0,1,tracer,105,11,15,0.9,0,3,1,4,3,3,0.5,2.5,6
3,Orbit Blade,around,orbital,sustained,nochange,box,8,0.5,200,9999,2,0xB0B0C0,count,1,0.4,0,forward,0,0,0,6,0,0,1,none,150,18,22,2.66,0,3,1,4,3,3,0.5,2.5,6
4,Scatter,front,straight,cooldown,vanish,sphere,4,1,340,0.7,5,0xFF9966,count,1,0.22,0,nearest,45,0,0,6,0,0,1,spark,18,1,5,0,0,3,1,4,3,3,0.5,2.5,6
5,Spiral Orb,around,spiral,cooldown,nochange,sphere,5,1.4,260,2,3,0xCC66FF,count,1,0.28,0,radial,120,0,0,4,0,0,1,comet,80,9,13,0.9,0,3,1,4,3,3,0.5,2.5,6
6,Land Mine,random,fixed,cooldown,nochange,box,1,1.6,0,4,1,0xFF5555,size,0.1,2.5,0,forward,0,0,0,6,0,0,1,none,35,3,7,0.9,0,3,1,4,3,3,0.5,2.5,7.8
7,Ricochet,front,straight,cooldown,reflect,sphere,7,1.2,420,2.5,1,0x66FF99,count,1,0.25,0,random,0,4,0,5,0,0,1,tracer,45,3,7,0.9,0,3,1,4,3,3,0.5,2.5,6
8,Split Shot,front,straight,cooldown,multiply,triangle,8,1.5,360,1.4,1,0xFFCC33,damage,6,0.3,0,nearest,0,1,0,4,0,0,1,tracer,70,7,11,0.9,0,3,1,4,3,3,0.5,2.5,6
9,Laser Beam,mouse,straight,sustained,nochange,box,3,1.5,900,1.5,1,0xFF3366,damage,2,0.35,0,cursor,0,0,0.1,0,102,8,1,none,150,19,23,0.9,0,1,1,4,3,3,0.5,2.5,6
10,Pulse Aura,around,orbital,sustained,field,sphere,2,0.5,0,9999,1,0x99CCFF,damage;size,2;0.1,3.18,0,forward,0,0,0.5,6,0,0,1,none,30,2,6,0,0,1,1,4,3,3,0.5,2.5,6
11,Seeker Dart,front,straight,cooldown,vanish,triangle,6,0.9,200,2,1,0x00FFCC,speed,1,0.25,180,lowesthp,0,1,0,4,0,0,1,comet,25,2,6,0.9,0,3,1,4,3,3,0.5,2.5,6
12,Heavy Cannon,front,straight,cooldown,vanish,sphere,40,2.4,300,1.6,1,0xFF8800,cooldown,0.9,0.7,0,nearest,0,1,0,25,0,0,1,plasma,80,8,12,0.9,0,3,1,4,3,3,0.5,2.5,6
13,Orbital Saw,around,orbital,sustained,nochange,triangle,6,0,150,9999,3,0xFFEE00,size,0.12,0.45,1.5,radial,0,0,0.25,6,0,0,1,none,150,17,21,0.9,0,3,1,4,3,3,0.5,2.5,6
14,Boomerang,front,straight,cooldown,nochange,box,9,1.3,420,5.5,1,0x88FF00,count,1,0.35,-160,forward,0,0,0,5,0,0,1,comet,145,16,20,0.9,0,3,1,4,3,3,0.5,2.5,6
15,Chain Lightning,front,straight,cooldown,chain,sphere,7,1.3,600,1.5,1,0x33CCFF,damage,4,0.2,0,nearest,0,5,0,2,103,8,1,spark,30,3,7,0.9,0,3,1,4,3,3,0.5,2.5,6
16,Spirit Wolf,around,follow,cooldown,nochange,box,10,1,180,2,1,0xC0A0FF,count,1,0.5,0,nearest,0,1,0,6,0,0,1,none,60,6,10,0.9,0,3,1,4,3,3,0.5,2.5,6
17,Gravity Well,mouse,fixed,cooldown,nochange,sphere,2,3,0,3,1,0x9933CC,size,0.2,0.7,0,cursor,0,0,0.5,-30,0,0,1,none,20,10,14,0.9,0,3,1,4,3,3,0.5,2.5,6
18,Railgun,front,straight,cooldown,nochange,box,30,1.7,760,1.4,1,0xCFE8FF,damage,8,0.3,0,nearest,0,0,0,10,0,0,1,plasma,150,20,24,0.9,0,3,1,4,3,3,0.5,2.5,6
19,Black Hole,mouse,fixed,cooldown,nochange,sphere,5,4,0,3.5,1,0x7722AA,size,0.2,1.1,0,cursor,0,0,0.35,-45,0,0,1,none,20,12,16,0.9,0,3,1,4,3,3,0.5,2.5,6
20,Hunter Drone,around,follow,cooldown,nochange,box,14,0.7,260,2,1,0xFFAA44,count,1,0.45,0,nearest,0,1,0,6,0,0,1,tracer,135,15,19,0.9,0,3,1,4,3,3,0.5,2.5,6
21,Nova Burst,around,straight,cooldown,vanish,sphere,14,2,420,1,12,0xFFE0E0,count,2,0.28,0,radial,0,1,0,8,0,0,1,spark,95,11,15,0.9,0,3,1,4,3,3,0.5,2.5,6
22,Annihilator,mouse,straight,sustained,nochange,box,9,1.5,950,1.8,1,0xFF2200,damage,3,0.4,0,cursor,0,0,0.06,0,0,0,1,none,150,21,25,0.9,0,1,1,4,3,3,0.5,2.5,6
23,Homing Rocket,front,homing,cooldown,vanish,triangle,18,1.1,360,2.5,1,0xFF66AA,damage,6,0.3,0,nearest,0,1,0,6,0,0,1,comet,95,10,14,0.9,0,3,1,4,3,3,0.5,2.5,6
24,Meteor Strike,random,fixed,cooldown,nochange,sphere,16,0.8,0,0.7,1,0xFF7711,damage,5,0.6,0,forward,0,0,0.3,8,0,0,1,none,70,8,12,0.9,0,3,1,4,3,3,0.5,2.5,6
25,Flamethrower,front,straight,cooldown,vanish,triangle,6,0.5,300,0.5,3,0xFF5500,damage,2,0.3,0,nearest,25,0,0,6,0,0,1,spark,50,5,9,0.9,0,9,1,4,3,3,0.5,2.5,6
26,Frost Bolt,front,straight,cooldown,vanish,triangle,10,1,460,1.5,1,0x66DDFF,damage,4,0.28,0,nearest,0,1,0,0,0,0,1,tracer,50,6,10,0.9,0,17,1,4,3,3,0.45,2.5,6
27,Spiral Saw,around,orbital,cooldown,nochange,triangle,8,2,220,4,2,0xFFAA00,count,1,0.4,0,radial,0,0,0.3,5,0,0,1,none,60,7,11,0.8,1.2,3,1,4,3,3,0.5,2.5,6
101,Storm Pellet,front,straight,cooldown,vanish,sphere,10,0.4,440,1.4,8,0xFFF0A0,count,2,0.25,0,nearest,60,1,0,4,0,0,0,spark,150,99,0,0.9,0,3,1,4,3,3,0.5,2.5,6
102,Death Ray,mouse,straight,sustained,nochange,box,6,1,900,2,1,0xFF0066,damage,3,0.6,0,cursor,0,0,0.05,0,0,0,0,none,150,99,0,0.9,0,1,1,4,3,3,0.5,2.5,6
103,Tempest,front,straight,cooldown,chain,sphere,12,1,700,1.8,2,0x66FFFF,damage,6,0.25,0,nearest,0,9,0,3,0,0,0,spark,115,99,0,0.9,0,3,1,4,3,3,0.5,2.5,6
104,Spiral Ball,around,orbital,cooldown,nochange,sphere,5,2.24,410,2,1,0x435DF2,damage;size,2;0.1,1,0,forward,0,0,0,6,0,0,1,tracer,15,1,3,0.9,3,3,1,4,3,3,0.5,2.5,6
105,Short Spear,front,straight,cooldown,multiply,sphere,5,1.57,400,2,1,0x43F2B5,damage,2,0.2,0,forward,0,3,0,6,0,0,1,tracer,15,1,5,0,0,1,1,4,3,3,0.5,2.5,6
